code,time,open,high,low,close,quote colume,volume
600760,12-Jul-21,64.58236,66.89491,63.10353,65.73367,46445176,3053861312
600760,13-Jul-21,65.19772,67.54996,64.86026,66.59715,33376619,2224436528
600760,14-Jul-21,66.26962,67.27206,63.27225,63.52038,41486151,2693999344
600760,15-Jul-21,64.35408,65.40614,62.379,64.01663,26793681,1716322384
600760,16-Jul-21,63.50053,68.41344,62.59735,66.6964,55075161,3686615328
600760,19-Jul-21,66.4979,66.94453,63.42113,64.53274,37640896,2449423472
600760,20-Jul-21,63.42113,65.86269,62.92488,64.89004,29359662,1903417424
600760,21-Jul-21,64.45334,68.36381,64.11588,66.75595,35248531,2366951760
600760,22-Jul-21,66.22993,70.46793,65.30689,69.37617,37771391,2584576688
600760,23-Jul-21,69.35632,76.10535,67.85764,73.21716,51729651,3708774992
600760,26-Jul-21,73.44544,78.28887,70.46793,70.46793,68521321,5171491840
600760,27-Jul-21,70.03122,73.92184,67.95689,68.03629,58864307,4199252736
600760,28-Jul-21,66.89491,67.00408,62.52788,64.51289,44268546,2874769984
600760,29-Jul-21,66.4979,70.51756,65.5451,69.63422,46129068,3165764224
600760,30-Jul-21,69.39602,70.75575,66.22,67.32168,34398100,2368273200
600760,2-Aug-21,68.40351,72.90948,66.617,71.51006,38455689,2730423424
600760,3-Aug-21,71.4505,74.46772,69.9022,71.66885,39558515,2877184992
600760,4-Aug-21,70.96418,75.53963,70.67635,74.53719,35495055,2635246000
600760,5-Aug-21,74.68607,77.41547,73.44544,74.59675,49554741,3780353392
600760,6-Aug-21,73.77297,74.83495,70.96418,74.0608,39860400,2925159296
600760,9-Aug-21,74.0608,76.67109,73.02859,74.0608,27988411,2104140288
600760,10-Aug-21,72.99882,77.99112,72.99882,76.21453,44225405,3406033488
600760,11-Aug-21,75.43045,76.66116,73.87222,74.83495,30458977,2295532352
600760,12-Aug-21,74.40817,74.92427,71.14283,71.4505,28951487,2110824928
600760,13-Aug-21,71.0138,73.9814,69.97167,71.8475,28733913,2089323584
600760,16-Aug-21,71.80781,73.04844,70.46793,71.36118,18416416,1334068352
600760,17-Aug-21,71.46043,72.87971,70.05107,70.46793,22364104,1613408496
600760,18-Aug-21,70.76568,76.00611,69.87242,74.43795,41675200,3102472656
600760,19-Aug-21,73.9417,76.42296,72.46286,74.86472,29089399,2195188592
600760,20-Aug-21,73.62409,75.67858,72.25444,72.47279,26015449,1922941376
600760,23-Aug-21,73.74319,79.71808,72.67129,79.0928,54497294,4288339568
600760,24-Aug-21,76.42296,79.89673,73.37597,79.40047,50830845,3917553280
600760,25-Aug-21,78.40797,80.59148,75.89693,78.30872,25761241,2023819744
600760,26-Aug-21,77.81247,79.71808,76.40311,76.94899,21956152,1726340576
600760,27-Aug-21,76.43288,77.09786,74.71585,75.82746,20465809,1560063952
600760,30-Aug-21,77.31622,83.0529,77.31622,80.05553,37223322,2999586304
600760,31-Aug-21,83.86675,85.11732,79.00347,81.43512,41134926,3403832960
600760,1-Sep-21,82.75514,83.35065,74.44788,79.20198,36715036,2905622080
600760,2-Sep-21,77.62389,80.50216,77.61396,79.41041,16619265,1330073680
600760,3-Sep-21,79.2913,80.09523,73.47521,74.35854,32282824,2461077344
600760,6-Sep-21,73.34619,74.9342,71.2917,74.23945,23353051,1726346752
600760,7-Sep-21,74.14019,76.33364,73.45537,74.53719,17571289,1327036336
600760,8-Sep-21,74.6166,75.20217,72.25444,72.65144,20188600,1487827168
600760,9-Sep-21,72.33383,76.90929,71.7681,76.28401,26328075,1968324640
600760,10-Sep-21,76.28401,76.28401,73.84245,74.36847,21037667,1585844048
