A,B
date,open
25oct2022,47.37
26oct2022,47.73
27oct2022,47.08
28oct2022,45.17
31oct2022,43.5
01nov2022,45.06
02nov2022,45.46
03nov2022,45.35
04nov2022,47.7
07nov2022,47.44
08nov2022,46.84
09nov2022,45.55
10nov2022,45
11nov2022,45.9
14nov2022,44.84
15nov2022,45.8
16nov2022,45
17nov2022,44.18
18nov2022,43.94
21nov2022,44.05
22nov2022,42.99
23nov2022,44.25
24nov2022,43.91
25nov2022,43.08
28nov2022,42.87
29nov2022,43.15
30nov2022,43.32
01dec2022,43.89
02dec2022,43.01
05dec2022,42.13
06dec2022,42.14
07dec2022,42.35
08dec2022,42.28
09dec2022,41.99
12dec2022,41.41
13dec2022,40.84
14dec2022,40.75
15dec2022,41.4
16dec2022,40.49
19dec2022,40.26
20dec2022,39.89
21dec2022,39.1
22dec2022,38.15
23dec2022,37.99
26dec2022,38.99
27dec2022,40.07
28dec2022,39.57
29dec2022,38.89
30dec2022,38.58
03jan2023,38.72
04jan2023,37.5
05jan2023,38.55
06jan2023,40.5
09jan2023,40.09
10jan2023,39.98
11jan2023,39.57
12jan2023,39.67
13jan2023,39.64
16jan2023,40.82
17jan2023,40.77
18jan2023,40.9
19jan2023,40.94
20jan2023,41.93
30jan2023,41.71
31jan2023,42.21
01feb2023,42.54
02feb2023,41.84
03feb2023,40.98
06feb2023,40.75
07feb2023,40.72
08feb2023,40.78
09feb2023,41.16
10feb2023,40.62
13feb2023,40.4
14feb2023,40.35
15feb2023,40.64
16feb2023,39.61
17feb2023,38.84
20feb2023,39.88
21feb2023,41.78
22feb2023,41.58
23feb2023,42.33
24feb2023,41.72
27feb2023,41.19
28feb2023,41.9
01mar2023,41.88
02mar2023,41.24
03mar2023,41.21
06mar2023,42.05
07mar2023,40.82
08mar2023,40.28
09mar2023,39.91
10mar2023,39.23
13mar2023,39.84
14mar2023,39.1
15mar2023,39.23
16mar2023,37.98
17mar2023,38
20mar2023,38.28
21mar2023,38.71
22mar2023,38.73
23mar2023,38.57
24mar2023,39.05
27mar2023,39.17
28mar2023,38.64
29mar2023,38.69
30mar2023,38.84
31mar2023,38.91
03apr2023,39.34
04apr2023,38.99
06apr2023,38.8
07apr2023,38.91
10apr2023,40.47
11apr2023,40.53
12apr2023,39.91
13apr2023,39.77
14apr2023,40.08
17apr2023,40.56
18apr2023,40.67
19apr2023,39.91
20apr2023,39.69
21apr2023,39.15
24apr2023,38.8
25apr2023,37.95
26apr2023,40.26
27apr2023,39.79
28apr2023,39.83
04may2023,39.02
05may2023,38.31
08may2023,38.61
09may2023,38.32
10may2023,38.91
11may2023,38.6
12may2023,38.22
15may2023,39.16
16may2023,38.96
17may2023,38.67
18may2023,38.36
19may2023,38.38
22may2023,38.51
23may2023,38.45
24may2023,38.69
25may2023,39.07
